frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,1.000,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.100,0.000
3,0.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.000,0,0.000,0.000,0.000,0.000,3.298,0.966,0.000,2.901,0.236,0.764,0.185,0.750
6,0.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.500,0,0.000,0.000,0.000,0.000,3.737,0.959,0.000,0.158,0.240,0.760,0.196,0.000
9,0.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.667,0,0.000,0.000,0.000,0.000,3.737,0.984,0.000,0.132,0.240,0.760,0.195,0.000
12,0.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.750,0,0.000,0.000,0.000,0.000,2.857,0.978,0.000,0.006,0.216,0.784,0.173,0.000
15,0.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.800,0,0.000,0.000,0.000,0.000,2.542,0.940,0.000,0.156,0.209,0.791,0.168,0.000
18,0.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.667,0,0.000,0.000,0.000,0.000,1.853,0.917,0.000,0.261,0.174,0.826,0.052,0.750
21,0.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.714,0,0.000,0.000,0.000,0.000,3.803,0.928,0.000,0.108,0.224,0.776,0.100,0.000
24,0.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.750,0,0.000,0.000,0.000,0.000,4.448,0.888,0.000,0.291,0.255,0.745,0.119,0.000
27,0.900,0.000,0.000,0.000,0.000,1,0,0,0.000,0.000,3,0,0.778,1,0.000,0.000,0.100,0.000,2.915,0.847,0.000,0.855,0.219,0.781,0.206,0.650
30,1.000,16.155,0.000,16.155,0.000,1,0,0,0.000,0.000,3,0,0.800,1,0.000,0.000,0.182,0.000,3.025,0.655,0.000,0.192,0.140,0.860,0.321,0.550
