frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,1.000,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.100,0.000
3,0.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,1,0.000,0,0.000,0.000,0.000,0.000,1.344,0.573,0.000,0.523,0.117,0.883,0.163,0.750
6,0.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.500,0,0.000,0.000,0.000,0.000,1.677,0.840,0.000,1.864,0.149,0.851,0.153,0.550
9,0.300,0.000,0.000,0.000,0.000,1,0,0,0.000,0.000,6,1,0.333,5,0.000,0.000,0.250,0.000,1.813,0.842,0.000,0.650,0.140,0.860,0.386,0.750
12,0.400,16.155,0.000,16.155,0.000,1,0,0,0.000,0.000,6,0,0.500,5,0.000,32.625,0.400,0.261,1.028,0.186,0.000,2.172,0.106,0.894,0.520,0.550
15,0.500,15.000,0.000,-1.155,0.000,1,0,0,0.000,0.000,6,0,0.600,5,15.000,67.320,0.500,0.290,1.110,0.332,0.000,0.587,0.079,0.921,0.518,0.000
18,0.600,5.831,0.000,-9.169,0.000,1,0,0,0.000,1.030,6,0,0.667,5,133.507,907.490,0.571,0.302,0.774,0.762,0.000,2.749,0.076,0.924,0.437,0.742
21,0.700,10.817,0.000,4.986,0.000,1,0,0,0.000,1.277,6,0,0.714,5,10.817,829.211,0.625,0.309,0.879,0.875,0.000,1.064,0.141,0.859,0.466,0.350
24,0.800,40.522,0.000,28.315,0.000,2,1,0,40.522,1.826,6,0,0.750,6,113.464,1309.105,0.667,0.309,1.377,0.716,0.000,2.505,0.130,0.870,0.819,0.650
27,0.900,36.497,0.000,-8.225,0.000,2,1,0,36.497,2.246,6,1,0.667,6,0.000,1029.176,0.700,0.309,1.308,0.370,0.000,0.461,0.083,0.917,0.824,0.750
30,1.000,21.840,0.000,-14.656,0.000,1,1,0,0.000,2.358,6,0,0.700,5,128.141,1226.100,0.727,0.312,0.980,0.633,0.000,3.009,0.111,0.889,0.639,0.712
33,1.100,30.265,0.000,8.425,0.000,2,1,0,43.012,2.437,6,0,0.727,6,105.081,1361.002,0.750,0.312,0.905,0.830,0.000,2.650,0.101,0.899,0.753,0.650
36,1.200,0.000,6.708,0.000,6.708,1,0,0,0.000,0.000,5,1,0.667,4,105.081,1361.002,0.769,0.316,0.750,0.761,0.000,1.117,0.125,0.875,0.459,0.750
39,1.300,0.000,9.055,0.000,2.347,1,0,0,0.000,0.000,5,0,0.692,4,105.081,1361.002,0.786,0.320,0.457,0.819,0.000,0.350,0.094,0.906,0.463,0.584
42,1.400,0.000,5.000,0.000,-4.055,1,0,0,0.000,2.609,5,0,0.714,4,105.081,1361.002,0.800,0.324,0.538,0.867,0.000,0.594,0.111,0.889,0.441,0.584
45,1.500,82.638,210.924,52.372,205.924,2,1,0,239.754,2.672,5,1,0.667,6,0.000,1361.829,0.812,0.324,11.945,0.155,0.000,0.325,0.424,0.576,1.000,0.750
48,1.600,246.272,0.000,232.237,0.000,2,1,0,246.272,2.647,5,0,0.688,6,60.407,1239.559,0.824,0.324,1.551,0.519,0.000,0.980,0.143,0.857,0.881,0.450
51,1.700,0.000,266.732,0.000,7.354,2,0,1,266.732,2.668,5,0,0.706,6,109.859,1200.714,0.833,0.324,2.362,0.856,0.000,1.465,0.219,0.781,0.879,0.610
54,1.800,0.000,313.790,0.000,41.860,2,0,1,313.790,2.811,5,1,0.667,6,43.139,1298.957,0.842,0.324,2.103,0.853,0.000,0.090,0.216,0.784,0.874,0.750
57,1.900,0.000,313.882,0.000,0.092,1,0,1,0.000,2.857,5,0,0.684,4,27.313,1280.555,0.850,0.324,2.341,0.907,0.000,0.232,0.232,0.768,0.791,0.650
60,2.000,0.000,7.211,0.000,-306.671,1,0,1,0.000,2.609,5,0,0.700,4,34.928,1146.524,0.857,0.324,2.865,0.860,0.000,0.537,0.233,0.767,0.598,0.580
63,2.100,0.000,3.162,0.000,-4.049,1,0,1,0.000,2.513,4,1,0.667,3,28.792,1145.019,0.864,0.336,2.144,0.869,0.000,3.102,0.213,0.787,0.549,0.750
66,2.200,0.000,3.162,0.000,0.000,1,0,1,0.000,2.373,4,0,0.682,2,4.472,816.344,0.870,0.336,2.146,0.797,0.000,2.438,0.184,0.816,0.510,0.580
69,2.300,0.000,2.828,0.000,-0.334,1,0,1,0.000,2.052,4,0,0.696,2,4.472,805.014,0.875,0.347,1.354,0.841,0.000,0.496,0.154,0.846,0.486,0.580
72,2.400,0.000,6.083,0.000,3.254,1,0,1,0.000,1.797,4,0,0.708,3,4.472,842.879,0.880,0.347,0.948,0.861,0.000,0.790,0.124,0.876,0.538,0.580
75,2.500,0.000,6.000,0.000,-0.083,1,0,1,0.000,1.428,4,0,0.720,3,87.023,933.889,0.885,0.358,1.330,0.926,0.000,0.273,0.188,0.812,0.543,0.580
78,2.600,0.000,9.849,0.000,3.849,1,0,1,0.000,1.188,4,0,0.731,3,84.149,974.444,0.889,0.358,1.090,0.923,0.000,0.026,0.155,0.845,0.559,0.580
81,2.700,0.000,9.434,0.000,-0.415,1,0,1,0.000,1.067,3,1,0.704,2,18.028,711.519,0.893,0.369,2.268,0.881,0.000,0.874,0.230,0.770,0.475,0.750
84,2.800,0.000,9.899,0.000,0.466,1,0,1,0.000,1.126,3,0,0.714,2,0.000,618.714,0.897,0.369,1.094,0.835,0.000,2.615,0.175,0.825,0.452,0.580
87,2.900,254.012,0.000,7.740,0.000,1,1,0,0.000,2.682,3,0,0.724,2,28.231,632.964,0.900,0.379,1.466,0.869,0.000,0.851,0.195,0.805,0.654,0.500
90,3.000,0.000,1.414,0.000,-8.485,1,0,1,0.000,1.092,5,1,0.724,3,0.000,386.244,0.933,0.379,1.630,0.744,0.000,2.188,0.183,0.817,0.517,0.750
93,3.100,0.000,5.000,0.000,3.586,1,0,1,0.000,1.075,5,0,0.724,3,0.000,369.849,0.967,0.379,1.939,0.943,0.005,0.345,0.208,0.792,0.534,0.580
96,3.200,0.000,8.944,0.000,3.944,1,0,1,0.000,1.351,5,0,0.759,2,3.000,375.719,1.000,0.389,1.387,0.982,0.000,3.100,0.197,0.803,0.508,0.580
99,3.300,0.000,4.472,0.000,-4.472,1,0,1,0.000,1.429,4,1,0.724,2,4.000,373.744,1.000,0.399,2.285,0.851,0.041,2.513,0.204,0.796,0.532,0.750
102,3.400,1.000,9.434,-253.012,4.962,2,1,1,10.000,2.517,3,1,0.690,4,31.385,372.584,1.000,0.399,0.619,0.957,0.043,0.563,0.100,0.900,0.651,0.750
105,3.500,0.000,22.472,0.000,10.307,2,0,1,22.472,1.750,4,1,0.655,6,45.541,274.680,1.000,0.399,1.431,0.783,0.117,2.872,0.190,0.810,0.756,0.750
108,3.600,0.000,8.000,0.000,-14.472,1,0,1,0.000,1.929,4,0,0.655,3,48.374,178.569,1.000,0.408,1.449,0.975,0.195,1.329,0.190,0.810,0.567,0.650
111,3.700,0.000,8.062,0.000,0.062,1,0,1,0.000,1.864,4,0,0.655,3,0.000,177.574,1.000,0.408,4.886,0.978,0.248,2.665,0.281,0.719,0.654,0.580
114,3.800,9.220,0.000,8.220,0.000,1,1,0,0.000,2.430,4,0,0.690,3,0.000,174.339,1.000,0.417,2.533,0.966,0.213,0.990,0.224,0.776,0.602,0.580
117,3.900,10.296,0.000,1.076,0.000,1,1,0,0.000,2.293,5,1,0.655,3,0.000,167.437,1.000,0.417,3.121,0.939,0.183,1.160,0.256,0.744,0.598,0.750
120,4.000,0.000,29.732,0.000,21.670,1,0,1,0.000,1.794,5,0,0.655,3,17.000,183.219,1.000,0.417,2.280,0.929,0.120,1.913,0.223,0.777,0.685,0.550
123,4.100,0.000,9.000,0.000,-20.732,1,0,1,0.000,1.747,5,0,0.690,3,16.401,191.764,1.000,0.417,2.794,0.949,0.106,0.846,0.248,0.752,0.581,0.580
126,4.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.655,0,16.401,191.764,0.967,0.417,10.516,0.210,0.068,0.906,0.550,0.450,0.371,0.800
129,4.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.655,0,16.401,191.764,0.933,0.417,2.743,0.813,0.100,0.406,0.166,0.834,0.194,0.580
132,4.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.690,0,16.401,191.764,0.900,0.417,2.432,0.807,0.127,0.395,0.167,0.833,0.182,0.580
