frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,1,0,0,0.000,0.000,3,0,1.000,1,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.330,0.000
3,0.100,0.000,469.004,0.000,439.323,2,0,0,469.004,0.000,4,1,0.000,4,251.730,7011.556,1.000,0.366,1.785,0.832,0.000,0.339,0.129,0.871,0.806,0.750
6,0.200,0.000,443.289,0.000,-24.712,2,0,0,443.289,3.121,3,1,0.000,2,240.666,5764.375,1.000,0.414,1.050,0.872,0.000,0.213,0.100,0.900,0.725,0.750
9,0.300,0.000,436.005,0.000,-4.006,2,0,1,436.005,3.124,3,1,0.000,3,20.125,4709.520,1.000,0.414,0.861,0.680,0.000,0.264,0.095,0.905,0.874,0.750
12,0.400,0.000,437.073,0.000,1.032,2,0,1,437.073,3.127,3,0,0.250,3,3.000,3984.014,1.000,0.414,0.790,0.812,0.000,0.395,0.084,0.916,0.863,0.350
15,0.500,0.000,3.162,0.000,-433.911,1,0,1,0.000,2.948,4,1,0.200,3,201.090,5385.510,1.000,0.414,1.199,0.697,0.000,0.182,0.102,0.898,0.554,0.750
18,0.600,0.000,425.142,0.000,414.372,2,0,1,425.142,2.522,3,1,0.167,3,279.544,6707.025,1.000,0.414,1.146,0.349,0.000,0.070,0.089,0.911,0.804,0.750
21,0.700,0.000,475.602,0.000,37.943,2,0,1,475.602,2.524,3,0,0.286,4,0.000,6168.760,1.000,0.406,1.554,0.566,0.000,0.207,0.109,0.891,0.799,0.450
24,0.800,0.000,468.310,0.000,-15.712,2,0,1,468.310,2.517,3,0,0.375,4,270.934,6799.136,1.000,0.400,1.343,0.442,0.000,0.606,0.096,0.904,0.803,0.750
27,0.900,0.000,480.505,0.000,12.195,2,0,1,488.112,2.514,4,1,0.333,4,0.000,6196.898,1.000,0.396,3.318,0.804,0.000,0.650,0.121,0.879,0.927,0.750
30,1.000,10.440,34.713,10.440,-445.792,2,0,1,506.661,2.438,4,0,0.400,4,239.460,6499.616,1.000,0.392,1.995,0.790,0.000,1.734,0.094,0.906,0.837,0.750
33,1.100,6.403,26.306,-4.037,-8.407,2,0,1,485.576,2.591,4,0,0.455,4,76.662,6390.945,1.000,0.390,2.777,0.494,0.000,1.827,0.131,0.869,0.831,0.580
36,1.200,39.812,42.012,33.409,15.706,2,0,1,438.858,2.669,3,1,0.417,4,44.011,6255.459,1.000,0.387,2.573,0.556,0.000,0.084,0.096,0.904,0.809,0.750
39,1.300,0.000,438.634,0.000,428.634,2,0,1,438.634,1.925,3,0,0.462,4,237.320,6181.905,1.000,0.386,1.407,0.571,0.000,0.252,0.092,0.908,0.795,0.750
42,1.400,7.071,426.277,-32.741,-12.357,2,0,1,425.180,2.733,3,0,0.500,4,52.631,6270.694,1.000,0.384,2.365,0.857,0.000,0.359,0.110,0.890,0.799,0.450
45,1.500,21.260,10.770,14.189,-415.507,2,0,1,413.679,2.059,3,0,0.533,4,88.255,5644.534,1.000,0.383,1.349,0.456,0.000,0.471,0.087,0.913,0.670,0.580
