frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,1,0,0,0.000,0.000,3,0,1.000,1,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.330,0.000
3,0.100,0.000,0.000,0.000,0.000,1,0,0,0.000,0.000,4,1,0.000,2,0.000,0.000,1.000,0.500,0.798,0.243,0.000,0.438,0.096,0.904,0.433,0.750
6,0.200,15.000,0.000,15.000,0.000,1,0,0,0.000,0.000,4,0,0.500,2,0.000,8.889,1.000,0.500,0.608,0.762,0.000,2.030,0.082,0.918,0.475,0.550
9,0.300,7.071,0.000,-7.929,0.000,1,0,0,0.000,0.000,4,0,0.667,2,59.666,328.200,1.000,0.500,1.310,0.922,0.000,0.087,0.163,0.837,0.438,0.000
12,0.400,208.279,0.000,189.043,0.000,2,0,0,208.279,2.019,4,0,0.750,4,71.169,593.148,1.000,0.449,1.826,0.947,0.000,0.014,0.183,0.817,0.799,0.650
15,0.500,241.338,30.000,33.059,30.000,2,0,0,237.918,2.381,4,0,0.800,4,94.414,927.504,1.000,0.427,2.965,0.839,0.000,0.222,0.182,0.818,0.835,0.525
18,0.600,0.000,32.558,0.000,2.558,1,0,0,0.000,0.000,4,0,0.833,2,39.825,917.604,1.000,0.436,2.437,0.832,0.000,2.936,0.197,0.803,0.614,0.650
21,0.700,0.000,48.765,0.000,16.207,1,0,0,0.000,1.012,4,0,0.857,2,22.361,950.199,1.000,0.444,4.564,0.934,0.000,0.203,0.232,0.768,0.729,0.350
24,0.800,0.000,54.818,0.000,6.053,1,0,0,0.000,0.822,4,0,0.875,2,49.041,1309.467,1.000,0.449,2.222,0.691,0.000,0.583,0.155,0.845,0.687,0.000
27,0.900,0.000,50.210,0.000,-4.608,1,0,0,0.000,0.582,4,0,0.889,2,0.000,1743.656,1.000,0.454,9.193,0.883,0.000,0.013,0.266,0.734,0.818,0.000
30,1.000,197.003,24.331,-44.335,-25.879,2,1,1,3.606,2.367,4,0,0.900,4,0.000,2222.149,1.000,0.442,7.523,0.919,0.000,0.004,0.255,0.745,1.000,0.650
33,1.100,0.000,13.038,0.000,-11.293,1,0,1,0.000,0.808,4,0,0.909,2,32.802,2013.007,1.000,0.446,3.246,0.865,0.000,0.564,0.231,0.769,0.603,0.650
36,1.200,0.000,24.207,0.000,11.169,1,0,1,0.000,0.797,4,0,0.917,2,48.836,1868.920,1.000,0.449,2.913,0.819,0.000,0.177,0.227,0.773,0.660,0.000
39,1.300,0.000,28.425,0.000,4.218,1,0,1,0.000,0.714,4,0,0.923,2,24.083,1409.999,1.000,0.453,5.364,0.847,0.000,2.009,0.277,0.723,0.743,0.550
42,1.400,0.000,230.054,0.000,199.575,2,0,1,230.054,0.786,4,0,0.929,4,11.045,469.215,1.000,0.444,5.420,0.856,0.000,0.054,0.280,0.720,0.976,0.650
45,1.500,0.000,252.198,0.000,2.166,2,0,1,252.198,1.471,4,0,0.933,4,35.128,924.850,1.000,0.436,3.034,0.789,0.000,0.232,0.240,0.760,0.921,0.350
