frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,1,0,0,0.000,0.000,3,0,1.000,1,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.330,0.000
3,0.100,0.000,34.655,0.000,34.655,1,0,0,0.000,0.000,4,1,0.000,2,62.201,381.889,1.000,0.500,3.492,0.601,0.000,1.221,0.142,0.858,0.668,0.750
6,0.200,0.000,22.627,0.000,-12.028,1,0,0,0.000,0.000,4,0,0.500,2,64.661,443.680,1.000,0.500,3.974,0.755,0.000,0.078,0.138,0.862,0.602,0.000
9,0.300,0.000,23.854,0.000,1.226,1,0,0,0.000,0.209,4,0,0.667,2,58.052,439.347,1.000,0.500,3.233,0.506,0.000,0.322,0.100,0.900,0.608,0.000
12,0.400,0.000,13.342,0.000,-10.512,1,0,0,0.000,0.506,4,0,0.750,2,52.479,422.222,1.000,0.500,1.562,0.780,0.000,0.872,0.103,0.897,0.489,0.000
15,0.500,0.000,20.224,0.000,6.882,2,0,0,485.372,0.463,4,0,0.800,4,65.000,452.669,1.000,0.458,2.598,0.587,0.000,0.867,0.093,0.907,0.706,0.650
18,0.600,35.468,24.413,35.468,4.189,2,0,1,455.509,0.550,5,1,0.667,6,0.000,400.982,1.000,0.414,5.371,0.866,0.000,0.090,0.157,0.843,0.921,0.750
21,0.700,50.090,17.029,14.622,-7.384,2,0,1,430.248,0.864,5,0,0.714,6,38.210,3103.798,1.000,0.391,2.794,0.821,0.000,0.010,0.091,0.909,0.912,0.000
24,0.800,68.015,11.180,17.925,-5.849,2,0,1,373.751,0.895,5,0,0.750,6,0.000,3294.855,1.000,0.376,3.268,0.692,0.000,0.016,0.118,0.882,0.933,0.000
27,0.900,67.543,7.280,-0.472,-3.900,2,0,1,313.441,0.886,4,1,0.667,5,31.780,2883.259,1.000,0.370,2.218,0.692,0.000,0.108,0.140,0.860,0.907,0.750
30,1.000,34.176,22.023,-33.367,14.743,2,0,1,299.923,0.804,4,0,0.700,5,0.000,2802.569,1.000,0.366,2.197,0.587,0.000,1.242,0.117,0.883,0.854,0.450
33,1.100,21.633,10.198,-12.543,-11.825,2,1,1,288.766,0.797,4,0,0.727,5,65.765,2569.844,1.000,0.363,1.511,0.508,0.000,1.432,0.109,0.891,0.772,0.550
36,1.200,12.000,7.000,-9.633,-3.198,2,1,1,284.114,0.721,5,1,0.667,6,53.009,1761.075,1.000,0.357,1.800,0.360,0.000,1.945,0.065,0.935,0.736,0.750
39,1.300,23.324,12.806,11.324,5.806,2,1,1,276.400,0.759,5,0,0.692,6,0.000,872.145,1.000,0.352,2.522,0.568,0.000,0.587,0.083,0.917,0.803,0.000
42,1.400,15.000,7.810,-8.324,-4.996,2,1,1,261.169,1.025,5,0,0.714,6,84.054,982.510,1.000,0.336,1.279,0.633,0.000,2.260,0.088,0.912,0.721,0.550
45,1.500,10.630,6.708,-4.370,-1.102,2,1,1,266.648,1.123,4,1,0.667,5,0.000,1062.839,1.000,0.311,1.647,0.626,0.000,1.087,0.098,0.902,0.706,0.750
48,1.600,5.000,15.811,-5.630,9.103,2,1,1,284.018,1.090,4,0,0.688,5,26.683,1127.329,1.000,0.311,1.207,0.157,0.000,1.483,0.068,0.932,0.757,0.550
51,1.700,11.402,9.055,6.402,-6.756,2,1,1,302.314,1.041,4,0,0.706,5,82.377,1217.468,1.000,0.311,1.860,0.404,0.000,1.018,0.097,0.903,0.732,0.350
54,1.800,10.630,21.633,-0.772,12.578,2,1,1,314.879,1.148,5,1,0.667,6,49.041,1384.364,1.000,0.311,3.677,0.403,0.000,0.923,0.120,0.880,0.834,0.750
